title,tags
Iron Man,"after being held captive in an afghan cave, billionaire engineer tony stark creates a unique weaponized suit of armor to fight evil. action science_fiction adventure middle_east arms_dealer malibu marvel_comic superhero based_on_comic_book tony_stark iron_man aftercreditsstinger marvel_cinematic_universe counter_terrorism agent_coulson robert_downey_jr. terrence_howard jeff_bridges jon_favreau heroes aren't born. they're built."
Hugo,"hugo is an orphan boy living in the wall of a train station in 1930s paris. he learned to fix clock and other gadget from his father and uncle which he put to use keeping the train station clock running. the only thing that he ha left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which hugo need to find to unlock the secret he belief it contains. on his adventures, he meet with a shopkeeper, george melies, who work in the train station and his adventure-seeking god-daughter. hugo find that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memory the old man ha buried inside regarding his past. adventure drama family library clock film_director key toy boy love orphan robot automaton hiding filmmaking leg_brace doberman 3d ben_kingsley sacha_baron_cohen asa_butterfield martin_scorsese one of the most legendary director of our time take you on an extraordinary adventure."
Wild Wild West,legless southern inventor dr. arliss loveless plan to rekindle the civil war by assassinating president u.s. grant. only two men can stop him: gunfighter james west and master-of-disguise and inventor artemus gordon. the two must team up to thwart loveless' plans. action adventure comedy science_fiction western steampunk based_on_tv_series steam_locomotive drag will_smith kevin_kline kenneth_branagh barry_sonnenfeld it's a whole new west.
The Mummy: Tomb of the Dragon Emperor,"archaeologist rick o'connell travel to china, pitting him against an emperor from the 2,000-year-old han dynasty who's returned from the dead to pursue a quest for world domination. this time, o'connell enlists the help of his wife and son to quash the so-called 'dragon emperor' and his abuse of supernatural power. adventure action fantasy brendan_fraser jet_li john_hannah rob_cohen a new evil awakens."
Suicide Squad,"from dc comics come the suicide squad, an antihero team of incarcerated supervillains who act a deniable asset for the united states government, undertaking high-risk black ops mission in exchange for commuted prison sentences. action adventure crime fantasy science_fiction dc_comics shared_universe anti_hero secret_mission villain superhero supervillain dc_extended_universe will_smith margot_robbie joel_kinnaman david_ayer worst heroes ever"
Evan Almighty,god contact congressman evan baxter and tell him to build an ark in preparation for a great flood. fantasy comedy family father_son_relationship daily_life married_couple support father marriage faith baustelle rescue animal nature duringcreditsstinger noah's_ark steve_carell lauren_graham john_goodman tom_shadyac a comedy of biblical proportion
Edge of Tomorrow,"major bill cage is an officer who ha never seen a day of combat when he is unceremoniously demoted and dropped into combat. cage is killed within minutes, managing to take an alpha alien down with him. he awakens back at the beginning of the same day and is forced to fight and die again... and again - a physical contact with the alien ha thrown him into a time loop. action science_fiction deja_vu time_warp restart dystopia war alien military_officer soldier alien_invasion exoskeleton tom_cruise emily_blunt brendan_gleeson doug_liman live, die, repeat"
Waterworld,"in a futuristic world where the polar ice cap have melted and made earth a liquid planet, a beautiful barmaid rescue a mutant seafarer from a floating island prison. they escape, along with her young charge, enola, and sail off aboard his ship. but the trio soon becomes the target of a menacing pirate who covets the map to 'dryland' – which is tattooed on enola's back. adventure action ocean tattoo mutant water dystopia doomsday kevin_costner chaim_girafi rick_aviles kevin_reynolds beyond the horizon lie the secret to a new beginning."
G.I. Joe: The Rise of Cobra,"from the egyptian desert to deep below the polar ice caps, the elite g.i. joe team us the latest in next-generation spy and military equipment to fight the corrupt arm dealer destro and the growing threat of the mysterious cobra organization to prevent them from plunging the world into chaos. adventure action thriller science_fiction terrorist secret hostage technology warhead government president revenge murder attack explosion scientist laser evil cobra dennis_quaid channing_tatum marlon_wayans stephen_sommers when all else fails, they don't."
Inside Out,"growing up can be a bumpy road, and it's no exception for riley, who is uprooted from her midwest life when her father start a new job in san francisco. like all of us, riley is guided by her emotion - joy, fear, anger, disgust and sadness. the emotion live in headquarters, the control center inside riley's mind, where they help advise her through everyday life. as riley and her emotion struggle to adjust to a new life in san francisco, turmoil ensues in headquarters. although joy, riley's main and most important emotion, try to keep thing positive, the emotion conflict on how best to navigate a new city, house and school. drama comedy animation family dream cartoon imaginary_friend animation family moving kid unicorn duringcreditsstinger 3d emotion amy_poehler phyllis_smith richard_kind pete_docter meet the little voice inside your head."
Iron Man 2,"with the world now aware of his dual life a the armored superhero iron man, billionaire inventor tony stark face pressure from the government, the press and the public to share his technology with the military. unwilling to let go of his invention, stark, with pepper potts and james 'rhodey' rhodes at his side, must forge new alliance – and confront powerful enemies. adventure action science_fiction malibu marvel_comic superhero based_on_comic_book revenge aftercreditsstinger marvel_cinematic_universe robert_downey_jr. gwyneth_paltrow don_cheadle jon_favreau it's not the armor that make the hero, but the man inside."
